x,y,z,intensity,return_num,classification
282003.77,5660003.72,31.740000000000002,41155,1,2
282003.03,5660004.39,31.76,21145,1,20
282003.77,5660004.02,31.77,42160,1,2
282003.39,5660004.25,31.740000000000002,31740,1,2
282003.77,5660004.33,31.740000000000002,40369,1,2
282001.98,5660005.25,31.76,15946,1,20
282003.39,5660004.55,31.75,39473,1,2
282003.38,5660005.16,31.73,40762,1,2
282003.77,5660004.99,31.75,43078,1,2
282003.77,5660005.28,31.75,41702,1,2
282004.74,5660004.01,31.7,40020,1,2
282004.08,5660004.5,31.71,37180,1,2
282004.08,5660003.49,31.73,41112,1,2
282004.08,5660003.85,31.720000000000002,41155,1,2
282004.36,5660003.68,31.740000000000002,38971,1,2
282004.36,5660003.34,31.75,42117,1,2
282004.74,5660003.36,31.740000000000002,42160,1,2
282004.74,5660003.68,31.73,41068,1,2
282004.36,5660003.99,31.720000000000002,37857,1,2
282004.08,5660004.18,31.75,37202,1,2
282004.36,5660004.35,31.740000000000002,42597,1,2
282005.17,5660003.48,31.75,44323,1,2
282005.17,5660003.8,31.740000000000002,43078,1,2
282005.53,5660003.44,31.76,45175,1,2
282005.53,5660003.79,31.76,47993,1,2
282005.83,5660003.57,31.77,46180,1,2
282005.17,5660004.16,31.720000000000002,43165,1,2
282005.83,5660003.92,31.76,46398,1,2
282005.53,5660004.11,31.78,47578,1,2
282005.83,5660004.22,31.810000000000002,48386,1,2
282004.08,5660004.84,31.76,42335,1,2
282004.36,5660004.64,31.73,39998,1,2
282004.74,5660004.35,31.740000000000002,39845,1,2
282004.73,5660004.68,31.740000000000002,42969,1,2
282004.36,5660004.96,31.740000000000002,43318,1,2
282004.08,5660005.19,31.740000000000002,43384,1,2
282004.36,5660005.29,31.740000000000002,43930,1,2
282004.73,5660004.97,31.740000000000002,38774,1,2
282004.73,5660005.32,31.740000000000002,45503,1,2
282005.17,5660004.45,31.78,46376,1,2
282005.16000000003,5660004.79,31.75,46923,1,2
282005.53,5660004.4,31.77,48670,1,2
282005.83,5660004.5600000005,31.810000000000002,47927,1,2
282005.53,5660004.73,31.76,47097,1,2
282005.16000000003,5660005.13,31.77,46944,1,2
282005.53,5660005.0600000005,31.78,47054,1,2
282005.83,5660004.85,31.78,46988,1,2
282005.83,5660005.17,31.78,47250,1,2
282000.15,5660005.78,31.71,33248,1,2
282000.56,5660005.64,31.720000000000002,31762,1,2
282000.56,5660005.93,31.64,29381,1,2
282000.15,5660006.0600000005,31.73,31107,1,2
282000.15,5660006.41,31.720000000000002,34602,1,2
282000.55,5660006.26,31.68,25798,1,2
282000.99,5660005.51,31.720000000000002,22128,1,2
282000.99,5660005.8100000005,31.68,21429,1,2
282001.36,5660005.89,31.7,24663,1,2
282001.36,5660005.57,31.7,24881,1,2
282001.66000000003,5660005.71,31.68,25012,1,2
282000.99,5660006.14,31.68,25558,1,2
282001.36,5660006.25,31.720000000000002,25558,1,2
282000.99,5660006.43,31.71,29403,1,2
282001.66000000003,5660006.02,31.69,24794,1,2
282000.15,5660006.75,31.71,34012,1,2
282000.55,5660006.6,31.71,25798,1,2
282000.55,5660006.91,31.73,23112,1,2
282000.15,5660007.37,31.7,32439,1,2
282000.55,5660007.21,31.69,26760,1,2
282000.55,5660007.54,31.71,29709,1,2
282001.36,5660006.58,31.650000000000002,19638,1,2
282001.36,5660006.91,31.66,25165,1,2
282001.66000000003,5660006.72,31.7,24968,1,2
282001.66000000003,5660006.98,31.720000000000002,27896,1,20
282000.99,5660007.08,31.7,27175,1,2
282001.36,5660007.27,31.67,25121,1,2
282000.99,5660007.43,31.63,26301,1,2
282001.66000000003,5660007.34,31.64,16798,1,2
282001.66000000003,5660006.34,31.75,24073,1,2
282000.99,5660006.73,31.75,30801,1,2
282000.15,5660007.73,31.71,33051,1,2
282000.15,5660008.07,31.67,28245,1,2
282000.55,5660007.88,31.71,28005,1,2
282000.15,5660008.38,31.68,28682,1,2
282000.55,5660008.18,31.71,25558,1,2
282000.55,5660008.51,31.71,31566,1,2
282000.99,5660007.72,31.67,19813,1,2
282001.36,5660007.61,31.68,24859,1,2
282000.99,5660008.02,31.62,19594,1,2
282001.36,5660007.89,31.7,24837,1,2
282001.66000000003,5660007.68,31.66,19638,1,2
282001.66000000003,5660008.0,31.650000000000002,23811,1,2
282001.36,5660008.21,31.71,27546,1,2
282000.99,5660008.34,31.720000000000002,32133,1,2
282001.35000000003,5660008.54,31.69,29468,1,2
282001.66000000003,5660008.3100000005,31.7,30036,1,2
282000.15,5660008.7,31.7,34252,1,2
282000.15,5660009.0600000005,31.720000000000002,36306,1,2
282000.55,5660008.82,31.720000000000002,30561,1,2
282000.15,5660009.34,31.7,33051,1,2
282000.55,5660009.14,31.7,30430,1,2
282000.55,5660009.45,31.71,35432,1,2
282000.99,5660008.68,31.73,31522,1,2
282000.99,5660008.99,31.71,28376,1,2
282001.35000000003,5660008.84,31.68,28442,1,2
282001.65,5660008.68,31.720000000000002,31107,1,2
282001.65,5660009.01,31.7,34252,1,2
282000.99,5660009.3100000005,31.720000000000002,34034,1,2
282001.35000000003,5660009.13,31.69,24641,1,2
282001.35000000003,5660009.48,31.71,29490,1,2
282001.65,5660009.32,31.720000000000002,37682,1,2
282001.97000000003,5660008.86,31.79,45044,1,20
282001.97000000003,5660009.15,31.740000000000002,41308,1,2
282001.97000000003,5660009.48,31.740000000000002,41745,1,2
282001.98,5660005.61,31.7,25820,1,2
282002.37,5660005.46,31.71,21735,1,2
282001.98,5660005.91,31.7,25842,1,2
282002.37,5660005.79,31.66,19070,1,2
282002.72000000003,5660005.66,31.68,29381,1,2
282001.98,5660006.23,31.7,22980,1,2
282002.37,5660006.14,31.69,18546,1,2
282002.72000000003,5660005.99,31.720000000000002,30932,1,2
282002.72000000003,5660006.32,31.720000000000002,34384,1,2
282003.03,5660006.37,31.71,36743,1,2
282001.98,5660006.6,31.67,20162,1,2
282001.98,5660006.91,31.69,20250,1,2
282002.36,5660006.76,31.69,23090,1,2
282001.98,5660007.21,31.71,18568,1,2
282002.36,5660007.1,31.69,31129,1,2
282002.36,5660007.46,31.7,28311,1,2
282002.72000000003,5660007.3,31.71,33466,1,2
282003.38,5660006.78,31.720000000000002,37529,1,2
282003.38,5660007.46,31.7,39910,1,2
282002.37,5660006.45,31.75,23177,1,20
282003.38,5660005.51,31.740000000000002,41898,1,2
282003.03,5660005.73,31.75,41134,1,2
282003.38,5660005.8,31.740000000000002,41789,1,2
282003.77,5660005.59,31.720000000000002,43821,1,2
282003.77,5660005.91,31.73,43427,1,2
282003.03,5660006.05,31.73,40041,1,2
282003.38,5660006.13,31.73,42750,1,2
282003.77,5660006.26,31.76,43056,1,2
282002.72000000003,5660006.68,31.740000000000002,41374,1,2
282002.72000000003,5660006.98,31.73,35301,1,2
282003.38,5660006.48,31.740000000000002,43296,1,2
282003.03,5660006.72,31.76,42357,1,2
282003.76,5660006.57,31.73,36568,1,2
282003.76,5660006.88,31.720000000000002,40893,1,2
282003.03,5660007.01,31.740000000000002,42095,1,2
282003.38,5660007.09,31.720000000000002,41287,1,2
282003.03,5660007.3,31.78,42728,1,20
282003.76,5660007.23,31.720000000000002,41680,1,2
282004.08,5660005.51,31.75,43646,1,2
282004.36,5660005.64,31.740000000000002,41898,1,2
282004.08,5660005.8,31.740000000000002,42182,1,2
282004.73,5660005.63,31.77,45284,1,2
282004.08,5660006.11,31.720000000000002,40041,1,2
282004.36,5660005.95,31.720000000000002,44257,1,2
282004.36,5660006.28,31.75,45175,1,2
282004.73,5660005.95,31.76,45109,1,2
282004.73,5660006.29,31.740000000000002,44957,1,2
282005.16000000003,5660005.46,31.75,47163,1,2
282005.16000000003,5660005.78,31.78,47097,1,2
282005.52,5660005.37,31.78,47709,1,2
282005.83,5660005.5,31.8,47622,1,2
282005.52,5660005.68,31.76,47403,1,2
282005.83,5660005.8100000005,31.810000000000002,48670,1,2
282005.16000000003,5660006.11,31.75,45590,1,2
282005.52,5660006.0,31.830000000000002,49173,1,2
282005.52,5660006.33,31.85,47403,1,2
282005.83,5660006.15,31.8,46726,1,2
282004.08,5660006.44,31.73,42685,1,2
282004.36,5660006.64,31.740000000000002,42554,1,2
282004.08,5660006.73,31.76,45765,1,2
282004.73,5660006.64,31.740000000000002,45634,1,2
282004.08,5660007.0600000005,31.73,40478,1,2
282004.36,5660006.97,31.76,43143,1,2
282004.07,5660007.39,31.740000000000002,43274,1,2
282004.36,5660007.3,31.73,43274,1,2
282004.73,5660006.92,31.76,46639,1,2
282004.73,5660007.26,31.76,47556,1,2
282005.16000000003,5660006.44,31.79,48321,1,2
282005.16000000003,5660006.76,31.78,47491,1,2
282005.83,5660006.51,31.8,47163,1,2
282005.52,5660006.66,31.79,48648,1,2
282005.83,5660006.8100000005,31.76,47600,1,2
282005.16000000003,5660007.09,31.8,47381,1,2
282005.16000000003,5660007.41,31.830000000000002,49216,1,2
282005.52,5660006.99,31.78,47054,1,2
282005.83,5660007.1,31.78,47185,1,2
282005.52,5660007.32,31.810000000000002,48758,1,2
282001.98,5660007.53,31.7,24728,1,2
282002.36,5660007.75,31.720000000000002,34624,1,2
282001.98,5660007.86,31.71,27044,1,2
282003.03,5660007.99,31.720000000000002,40740,1,2
282002.72000000003,5660007.63,31.75,40369,1,2
282002.72000000003,5660007.93,31.740000000000002,43799,1,2
282001.97000000003,5660008.19,31.740000000000002,37879,1,2
282002.36,5660008.1,31.73,40959,1,2
282001.97000000003,5660008.5,31.740000000000002,40806,1,2
282002.36,5660008.42,31.77,44935,1,2
282002.71,5660008.24,31.740000000000002,41855,1,2
282003.03,5660007.63,31.740000000000002,39233,1,2
282003.38,5660007.78,31.720000000000002,40391,1,2
282003.76,5660007.53,31.740000000000002,41439,1,2
282003.76,5660007.83,31.740000000000002,44126,1,2
282003.38,5660008.11,31.73,45088,1,2
282003.03,5660008.3100000005,31.73,43799,1,2
282003.38,5660008.41,31.76,44782,1,2
282003.76,5660008.17,31.740000000000002,43427,1,2
282002.36,5660008.75,31.75,45066,1,2
282002.71,5660008.59,31.75,44760,1,2
282002.71,5660008.9,31.740000000000002,41265,1,2
282002.36,5660009.07,31.75,44825,1,2
282002.36,5660009.4,31.76,46180,1,2
282002.71,5660009.21,31.76,42029,1,2
282003.03,5660008.65,31.740000000000002,42422,1,2
282003.02,5660008.98,31.740000000000002,43493,1,2
282003.38,5660008.76,31.77,47731,1,2
282003.76,5660008.52,31.78,46791,1,2
282003.76,5660008.78,31.79,47075,1,2
282003.02,5660009.26,31.75,46879,1,2
282003.38,5660009.07,31.75,46005,1,2
282003.37,5660009.38,31.740000000000002,45677,1,2
282003.76,5660009.1,31.740000000000002,45393,1,2
282003.76,5660009.47,31.75,46420,1,2
282004.07,5660007.7,31.740000000000002,42444,1,2
282004.36,5660007.63,31.73,42685,1,2
282004.35000000003,5660007.94,31.75,45481,1,2
282004.73,5660007.59,31.79,48080,1,2
282004.73,5660007.9,31.78,47425,1,2
282004.07,5660007.99,31.740000000000002,42816,1,2
282004.07,5660008.3100000005,31.75,44978,1,2
282004.35000000003,5660008.22,31.75,48015,1,2
282004.73,5660008.22,31.8,47622,1,2
282005.16000000003,5660007.71,31.79,47927,1,2
282005.52,5660007.67,31.78,46486,1,2
282005.83,5660007.46,31.77,45896,1,2
282005.83,5660007.78,31.740000000000002,46813,1,2
282005.16000000003,5660008.07,31.76,46529,1,2
282005.52,5660008.01,31.75,46923,1,2
282005.16000000003,5660008.4,31.78,47294,1,2
282005.52,5660008.32,31.76,46289,1,2
282005.82,5660008.08,31.73,43952,1,2
282005.82,5660008.41,31.740000000000002,45153,1,2
282004.07,5660008.65,31.75,46136,1,2
